업종,업소명,소재지(도로명),소재지전화,데이터기준일
휴게음식점,스칼렛커피숖,부산광역시 서구 보수대로 236 (동대신동3가),051-244-2816,2021-11-16
휴게음식점,휴고,부산광역시 서구 구덕로 303 (서대신동2가),051-256-0258,2021-11-16
휴게음식점,커피지연,"부산광역시 서구 대신공원로 26, 1층 (동대신동3가, 동아대학교의료원 신관 에프동 )",051-582-4232,2021-11-16
휴게음식점,종합강의동 커피점,"부산광역시 서구 구덕로 225 (부민동2가, 종합강의동 지하 1층)",051-200-6152,2021-11-16
휴게음식점,본(BORN) 95,부산광역시 서구 구덕로 238 (부용동1가),,2021-11-16
휴게음식점,웨슬리,"부산광역시 서구 구덕로 236-1, 1층 (부용동1가, 1층일부)",051-996-0027,2021-11-16
휴게음식점,전차플라워,부산광역시 서구 꽃마을로163번길 25 (서대신동3가),051-241-6648,2021-11-16
휴게음식점,혜윰,"부산광역시 서구 꽃마을로 164-10, 지하1층 (서대신동3가)",070-8871-8823,2021-11-16
휴게음식점,커피라이터,"부산광역시 서구 대영로 78 (동대신동1가, 동대신동시장 1층 일부)",,2021-11-16
휴게음식점,깔딱요기,"부산광역시 서구 암남공원로 39, 301동 지하4층 111호 (암남동, 풍림아이원상가)",051-243-2230,2021-11-16
휴게음식점,미엘,부산광역시 서구 임시수도기념로 13 (부민동2가),,2021-11-16
휴게음식점,고분도리카페,부산광역시 서구 해돋이로 416 (서대신동2가),,2021-11-16
휴게음식점,닥밭골북카페,"부산광역시 서구 보동길278번길 15, 2층 (동대신동2가, 닥밭골행복문화센터)",070-4243-1113,2021-11-16
휴게음식점,대신 벚꽃길 빙수,"부산광역시 서구 대영로73번길 60, 1층 (동대신동3가)",051-991-3610,2021-11-16
휴게음식점,국제관 커피점,"부산광역시 서구 구덕로 225 (부민동2가, 동아대학교 부민캠퍼스 국제관)",051-200-6152,2021-11-16
휴게음식점,기찻집예술체험장,"부산광역시 서구 천마산로 423, 1층 (아미동2가)",051-246-8899,2021-11-16
휴게음식점,카페로뎀,"부산광역시 서구 대신로 84, 1층 (서대신동3가)",051-245-9304,2021-11-16
휴게음식점,리스펙트커피(Respect Coffee),"부산광역시 서구 대신공원로 2, 2층 (동대신동3가)",051-995-0101,2021-11-16
휴게음식점,빈스톡,"부산광역시 서구 암남공원로 56, 1,2층 (암남동)",051-243-1239,2021-11-16
휴게음식점,알파피씨커피,"부산광역시 서구 충무대로 181, 1층 108호 (남부민동, LG마린타워)",,2021-11-16
휴게음식점,시편카페,"부산광역시 서구 대청로 8, 1층 (부민동1가)",,2021-11-16
휴게음식점,커피생활,"부산광역시 서구 대영로73번길 91, 1층 (동대신동3가)",051-255-1933,2021-11-16
휴게음식점,나그미커피,"부산광역시 서구 꽃마을로 41-1, 1층 (서대신동3가)",051-254-0533,2021-11-16
휴게음식점,카와,부산광역시 서구 대영로27번길 61 (서대신동3가),,2021-11-16
휴게음식점,싱싱커피,부산광역시 서구 해안새벽시장길 5 (충무동1가),,2021-11-16
휴게음식점,카페·모심,"부산광역시 서구 구덕로185번길 32-9, 1층 (아미동2가)",,2021-11-16
휴게음식점,카페젤라또,"부산광역시 서구 암남공원로 181, 104호 (암남동)",,2021-11-16
휴게음식점,풍경품은천마,부산광역시 서구 천마산로 370 (초장동),051-240-6575,2021-11-16
휴게음식점,메쉬커피,부산광역시 서구 구덕로199번길 20 (부민동2가),051-711-4155,2021-11-16
휴게음식점,마리스커피,부산광역시 서구 충무시장길 9 (충무동1가),051-247-2345,2021-11-16
휴게음식점,카페 음미,"부산광역시 서구 구덕로 150, 2층 (토성동3가)",,2021-11-16
휴게음식점,보라빛샌드위치,부산광역시 서구 구덕로305번길 56-3 (서대신동2가),051-255-5664,2021-11-16
휴게음식점,파로스커피,부산광역시 서구 남부민로 23 (남부민동),051-254-8888,2021-11-16
휴게음식점,달콤한휴식,부산광역시 서구 망양로 36-2 (서대신동3가),051-241-4484,2021-11-16
휴게음식점,카페 클래스인(cafe class-in),"부산광역시 서구 구덕로 263, 3층 (서대신동1가)",,2021-11-16
휴게음식점,카페볼레길,"부산광역시 서구 감천로 219, 1호동 106호 (암남동, 화성아파트)",051-256-1221,2021-11-16
휴게음식점,아띠(Atti),부산광역시 서구 충무대로267번길 4 (충무동1가),,2021-11-16
휴게음식점,"커피, 발을 딛다","부산광역시 서구 대영로 94, 1층 (동대신동1가)",,2021-11-16
