업종,업소명,소재지(도로명),소재지전화,데이터기준일
휴게음식점,투썸플레이스 송도해수욕장점,부산광역시 서구 송도해변로 117 (암남동),051 -247 -2388,2021-11-16
휴게음식점,투썸플레이스 고신대복음병원점,"부산광역시 서구 감천로 255, 2층 (암남동)",,2021-11-16
휴게음식점,투썸플레이스 부산서대신점,"부산광역시 서구 구덕로321번길 11, 1층 (서대신동2가)",,2021-11-16
휴게음식점,까페베네 송도해수욕장점,"부산광역시 서구 암남공원로 39, 301동 103호 (암남동, 송동풍림아이원)",051 -231 -9330,2021-11-16
휴게음식점,카페베네 고신의대점,"부산광역시 서구 감천로 262, 11동 1층 (암남동, 고신대 의과대학)",051 -256 -6173,2021-11-16
휴게음식점,이디야 부민동아대점,부산광역시 서구 임시수도기념로 9 (부민동2가),,2021-11-16
휴게음식점,이디야,"부산광역시 서구 구덕로 293, 1층 103호 (서대신동2가, 희망센츄럴타운)",051 -257 -8111,2021-11-16
휴게음식점,이디야커피(동아대병원점),"부산광역시 서구 동대로 22, 1층 (동대신동3가)",051 -253 -7566,2021-11-16
휴게음식점,이디아커피 서대신역점,부산광역시 서구 대티로 175-1 (서대신동3가),,2021-11-16
휴게음식점,(주)이디야 부산송도해상케이블카점,"부산광역시 서구 송도해변로 171, 3층 (암남동)",,2021-11-16
휴게음식점,이디야부산충무동점,"부산광역시 서구 충무대로 277, 1층 101호 (충무동1가, 충무 에코펠리스2차)",,2021-11-16
휴게음식점,이디야 부산대병원점,부산광역시 서구 까치고개로 195 (아미동2가),0507-1480-1274,2021-11-16
휴게음식점,스타벅스부산동대신역점,부산광역시 서구 구덕로322번길 7 (동대신동3가),02  -3015-1100,2021-11-16
휴게음식점,스타벅스커피 부민사거리점,"부산광역시 서구 구덕로 212, 1~3층 (부민동1가)",051 -244 -7837,2021-11-16
휴게음식점,스타벅스 부산송도해수욕장점,"부산광역시 서구 송도해변로 97, 1,2층 101, 102, 201호 (암남동)",051 -254 -3808,2021-11-16
일반음식점,텐퍼센트 커피 부산대학교병원점,부산광역시 서구 구덕로185번길 38 (아미동2가), 051- 245-5214,2021-11-16
휴게음식점,텐퍼센트커피 고신대병원점,"부산광역시 서구 감천로 261, 109호 (암남동, 삼성비치타운)",,2021-11-16
휴게음식점,텐퍼센트 대신푸르지오점,"부산광역시 서구 대영로38번길 11, 110동 109, 110호 (서대신동1가, 대신 푸르지오)",,2021-11-16
휴게음식점,텐퍼센트(서구청점),"부산광역시 서구 구덕로148번길 38, 1층 (토성동4가)",,2021-11-16
휴게음식점,텐퍼센트 송도암남공원로점,"부산광역시 서구 암남공원로 47-8, 2층 (암남동)",,2021-11-16
휴게음식점,텐퍼센트커피 동아대학병원점,"부산광역시 서구 동대로19번길 32, 상가동 1층 106 일부호 (동대신동3가, 브라운스톤 하이포레)",,2021-11-16
휴게음식점,아마스빈 대신점,"부산광역시 서구 구덕로 341-1, 1층 (서대신동3가)",051 -247 -8288,2021-11-16
일반음식점,더벤티 송도해변점,부산광역시 서구 송도해변로 85 (암남동),,2021-11-16
휴게음식점,더벤티부민점,"부산광역시 서구 구덕로 220 (부민동1가, 한웅캠퍼스 타워 102호)",,2021-11-16
휴게음식점,더벤티고신대학병원점,"부산광역시 서구 감천로 261, 1층 108호 (암남동, 삼성비치타운)",,2021-11-16
휴게음식점,더벤티 충무동점,"부산광역시 서구 충무대로 285, 1층 (충무동1가, 1층일부)",,2021-11-16
휴게음식점,더벤티,"부산광역시 서구 구덕로 337, 1층 (서대신동3가)",,2021-11-16
일반음식점,플루800,"부산광역시 서구 구덕로132번길 22, 1층 101호 (토성동4가)",,2021-11-16
일반음식점,플루800대신점,"부산광역시 서구 구덕로339번길 32, 1층 (서대신동3가)",,2021-11-16
일반음식점,플루800 충무점,부산광역시 서구 충무대로241번길 5-3 (남부민동),051 -231 -2989,2021-11-16
일반음식점,플루800 아미동,"부산광역시 서구 까치고개로197번길 25-1 (아미동2가, 남부아파트)",051 -243 -2989,2021-11-16
휴게음식점,플루800 동아대 병원점,"부산광역시 서구 대신공원로 15-1, 1층일부,2층층 (동대신동3가)",051 -245 -3697,2021-11-16
일반음식점,컴포즈부산대병원점((주)원우상사),"부산광역시 서구 구덕로185번길 34-10, 1층 (아미동2가)",051 -256 -2251,2021-11-16
휴게음식점,컴포즈 동아대병원점,"부산광역시 서구 동대로 28-6, 1층 103호 (동대신동3가, 리버스14차)",,2021-11-16
휴게음식점,컴포즈 커피(송도점),"부산광역시 서구 송도해변로 149, 1층 (암남동)",,2021-11-16
휴게음식점,컴포즈 동대신점,부산광역시 서구 구덕로315번길 10-8 (서대신동2가),051 -253 -0401,2021-11-16
휴게음식점,컴포즈커피 서대신점,"부산광역시 서구 부용로 1, 1층 101호 (서대신동1가)",051 -936 -0369,2021-11-16
휴게음식점,컴포즈 동대신비스타동원점,"부산광역시 서구 보수대로154번길 29, 비스타동원상가 110호 (동대신동1가)",,2021-11-16
휴게음식점,디초콜릿커피 부산서구청점,"부산광역시 서구 보수대로 9, 1층 104호 (충무동1가, 바른빌딩)",051 -231 -7544,2021-11-16
휴게음식점,파스쿠치 부산대병원점,"부산광역시 서구 까치고개로197번길 3 (아미동2가, 나동 1층일부 2층전체)",051 -248 -8497,2021-11-16
휴게음식점,파스쿠찌 부산송도해변점,"부산광역시 서구 송도해변로 79, 2층 (암남동)",051 -257 -8497,2021-11-16
휴게음식점,할리스커피부산송도점,"부산광역시 서구 송도해변로 61-1, 1층 (암남동)",051 -255 -6100,2021-11-16
휴게음식점,할리스 부산대병원2호점,"부산광역시 서구 구덕로 179, 부산대학병원 암센터동 (아미동1가)",,2021-11-16
휴게음식점,할리스 부산대병원1호점,"부산광역시 서구 구덕로 187, 부산대학교병원 교육연구시설 A동 1층 (아미동1가)",,2021-11-16
일반음식점,더리터(THE LITER),부산광역시 서구 임시수도기념로 3 (부민동2가), 051- 257-0963,2021-11-16
휴게음식점,더리터 아미점,부산광역시 서구 까치고개로 208 (아미동1가),,2021-11-16
