"업종명","업소명","소재지(도로명)","소재지전화"
"휴게음식점","바다커피숍","부산광역시 수영구 남천동로 103 (남천동)","051-625-5955"
"휴게음식점","경진커피","부산광역시 수영구 수영로 606, 지하1층 (광안동)","051-753-0342"
"휴게음식점","미화커피숍","부산광역시 수영구 수영로725번길 10 (수영동)","051-752-0825"
"휴게음식점","약속","부산광역시 수영구 망미로8번길 96 (망미동)","051-754-1463"
"휴게음식점","한일","부산광역시 수영구 수영로 687 (광안동)","051-755-3052"
"휴게음식점","누구나","부산광역시 수영구 광안로7번길 34 (광안동)","051-751-6549"
"휴게음식점","오렌지다실","부산광역시 수영구 민락본동로19번길 68, 지하 1층 (민락동)","051-755-5877"
"휴게음식점","동남","부산광역시 수영구 과정로 40, 2층 (망미동)","051-761-3300"
"휴게음식점","공차 광안리점","부산광역시 수영구 광안해변로 233, 1~3층 (민락동)",""
"휴게음식점","스타벅스광안리점","부산광역시 수영구 광안해변로 247, 1~3층 (민락동)","051-761-1844"
"휴게음식점","CAFFE MISO(까페미소)","부산광역시 수영구 수영로 493 (남천동)","051-612-0009"
"휴게음식점","하나커피숖","부산광역시 수영구 과정로 3 (망미동)","051-751-2199"
"휴게음식점","파스쿠찌광안리점","부산광역시 수영구 광안해변로 241, 1~4층 (민락동)","051-752-8497"
"휴게음식점","스타벅스 남천점","부산광역시 수영구 남천바다로 38, 1,2,3층 (남천동)","051-621-9234"
"휴게음식점","커피향기","부산광역시 수영구 광안해변로15번길 77 (남천동, 남천해변시장)","051-611-3529"
"휴게음식점","카페플로스(Cafe flos)","부산광역시 수영구 수영로 405 (남천동)",""
"휴게음식점","에코토피아","부산광역시 수영구 수영로408번길 30-6, 1층 (남천동)","051-628-2802"
"휴게음식점","빈스빈스커피(광안점)","부산광역시 수영구 광안해변로 155, 2층 (광안동)","051-752-1995"
"휴게음식점","탐앤탐스","부산광역시 수영구 광안해변로278번길 42 (민락동)","051-756-5002"
"휴게음식점","할리스커피 부산광안해변점","부산광역시 수영구 광안해변로 251, 1층~2층 (민락동)",""
